imdb_url,title,year,runtime,genre,rating,votes,plot,clean_title,clean_plot,clean_genre,vote_weight,vote_weight_norm,rating_norm,popularity_score,content
https://www.imdb.com/title/tt7229666/,Chhakka Panja 2,2017,138 min,"Comedy, Drama",6.6,290.0,Chhakka Panja 2 continues with new story of Raja and his friend at the village.,chhakka panja 2,chhakka panja 2 continues with new story of raja and his friend at the village,comedy drama,5.673323267171493,0.8575071599838842,0.6599999999999999,0.7785042959903303,chhakka panja 2 chhakka panja 2 chhakka panja 2 comedy drama comedy drama chhakka panja 2 continues with new story of raja and his friend at the village
https://www.imdb.com/title/tt8393764/,Chhakka Panja 3,2018,,Comedy,6.3,96.0,"When she learns about the worst condition of the school, the headmaster's daughter decides to stay in the village to make it a better place.",chhakka panja 3,when she learns about the worst condition of the school the headmaster s daughter decides to stay in the village to make it a better place,comedy,4.574710978503383,0.6914549434584426,0.63,0.6668729660750656,chhakka panja 3 chhakka panja 3 chhakka panja 3 comedy comedy when she learns about the worst condition of the school the headmaster s daughter decides to stay in the village to make it a better place
https://www.imdb.com/title/tt7672868/,Intu Mintu Londonma,2018,120 min,Romance,7.3,71.0,"When Ishan (Dhiraj Magar) and Meera (Samragyee Rajya Laxmi Shah) meet by chance through their common friends in London, they unknowingly fall for each other only to discover their fate depends on a difficult choice.",intu mintu londonma,when ishan dhiraj magar and meera samragyee rajya laxmi shah meet by chance through their common friends in london they unknowingly fall for each other only to discover their fate depends on a difficult choice,romance,4.276666119016055,0.6464062852080562,0.73,0.6798437711248337,intu mintu londonma intu mintu londonma intu mintu londonma romance romance when ishan dhiraj magar and meera samragyee rajya laxmi shah meet by chance through their common friends in london they unknowingly fall for each other only to discover their fate depends on a difficult choice
https://www.imdb.com/title/tt8387542/,Captain,2019,,"Drama, Sport",3.2,46.0,Father's dedication to guiding his son to becoming a better footballer.,captain,father s dedication to guiding his son to becoming a better footballer,drama sport,3.8501476017100584,0.5819391880179559,0.32,0.4771635128107735,captain captain captain drama sport drama sport father s dedication to guiding his son to becoming a better footballer
https://www.imdb.com/title/tt8622286/,Bulbul,2019,95 min,Drama,7.1,18.0,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.,bulbul,a young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father in law,drama,2.9444389791664403,0.44504382843491147,0.71,0.5510262970609469,bulbul bulbul bulbul drama drama a young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father in law
https://www.imdb.com/title/tt5225580/,Kabaddi Kabaddi,2015,135 min,"Comedy, Drama",7.9,343.0,Kaji dreams of marrying Maiya but things go wrong when Bamkaji returns to the village who also wants to marry Maiya.,kabaddi kabaddi,kaji dreams of marrying maiya but things go wrong when bamkaji returns to the village who also wants to marry maiya,comedy drama,5.840641657373398,0.8827968730565262,0.79,0.8456781238339157,kabaddi kabaddi kabaddi kabaddi kabaddi kabaddi comedy drama comedy drama kaji dreams of marrying maiya but things go wrong when bamkaji returns to the village who also wants to marry maiya
https://www.imdb.com/title/tt1999130/,Death Zone: Cleaning Mount Everest,2018,99 min,"Documentary, Adventure, Drama",7.7,102.0,"A team of 20 elite Nepali climbers venture into the Death Zone of Mount Everest to restore their sacred mountain and the contaminated water source of 1.3 billion people. They ascend the highest point on the planet to the 150 bodies of deceased climbers and 100,000 pounds of rubbish that remain on the high slopes of Everest. This is the self-documented story of their life-threatening journey.",death zone cleaning mount everest,a team of 20 elite nepali climbers venture into the death zone of mount everest to restore their sacred mountain and the contaminated water source of 1 3 billion people they ascend the highest point on the planet to the 150 bodies of deceased climbers and 100 000 pounds of rubbish that remain on the high slopes of everest this is the self documented story of their life threatening journey,documentary adventure drama,4.634728988229636,0.700526500047867,0.77,0.7283159000287203,death zone cleaning mount everest death zone cleaning mount everest death zone cleaning mount everest documentary adventure drama documentary adventure drama a team of 20 elite nepali climbers venture into the death zone of mount everest to restore their sacred mountain and the contaminated water source of 1 3 billion people they ascend the highest point on the planet to the 150 bodies of deceased climbers and 100 000 pounds of rubbish that remain on the high slopes of everest this is the self documented story of their life threatening journey
https://www.imdb.com/title/tt8881326/,Jatrai Jatra,2019,,Comedy,8.2,52.0,The story begins from where it was ended in part 1. The three guys got out from the jail after serving three years of sentencing and they part their ways but they again fall in trap of greed. This time it is about a gold. There are many twist and turns.,jatrai jatra,the story begins from where it was ended in part 1 the three guys got out from the jail after serving three years of sentencing and they part their ways but they again fall in trap of greed this time it is about a gold there are many twist and turns,comedy,3.970291913552122,0.6000986692927238,0.82,0.6880592015756343,jatrai jatra jatrai jatra jatrai jatra comedy comedy the story begins from where it was ended in part 1 the three guys got out from the jail after serving three years of sentencing and they part their ways but they again fall in trap of greed this time it is about a gold there are many twist and turns
https://www.imdb.com/title/tt0304435/,Muna Madan,2003,163 min,Drama,7.0,104.0,"An epic tragedy, based on Nepal's most famous epic poem. Madan, a lower-class worker, is forced by poverty and mounting debts to go to Lhasa, Tibet, leaving behind his lonely mother and beloved wife, Muna. However, tragedy befalls him on the way home.",muna madan,an epic tragedy based on nepal s most famous epic poem madan a lower class worker is forced by poverty and mounting debts to go to lhasa tibet leaving behind his lonely mother and beloved wife muna however tragedy befalls him on the way home,drama,4.653960350157523,0.7034332673468203,0.7,0.7020599604080922,muna madan muna madan muna madan drama drama an epic tragedy based on nepal s most famous epic poem madan a lower class worker is forced by poverty and mounting debts to go to lhasa tibet leaving behind his lonely mother and beloved wife muna however tragedy befalls him on the way home
https://www.imdb.com/title/tt3700482/,Jhola,2013,90 min,"Drama, History",7.7,249.0,"After her husband's death, a girl is forced to die due to the Sati practice in Nepal.",jhola,after her husband s death a girl is forced to die due to the sati practice in nepal,drama history,5.521460917862246,0.8345535848512657,0.77,0.8087321509107595,jhola jhola jhola drama history drama history after her husband s death a girl is forced to die due to the sati practice in nepal
